,QC_neg_1.mzdata,QC_neg_2.mzdata,QC_neg_3.mzdata,QC_neg_4.mzdata,QC_neg_5.mzdata,QC_neg_6.mzdata,QC_neg_7.mzdata,QC_neg_8.mzdata,QC_neg_9.mzdata,neg_1.mzdata,neg_2.mzdata,neg_3.mzdata,neg_4.mzdata,neg_5.mzdata,neg_6.mzdata,neg_7.mzdata,neg_8.mzdata,neg_9.mzdata,neg_10.mzdata,neg_11.mzdata,neg_12.mzdata,neg_13.mzdata,neg_14.mzdata,neg_15.mzdata,neg_16.mzdata,neg_17.mzdata,neg_18.mzdata,neg_19.mzdata,neg_20.mzdata,neg_21.mzdata,neg_22.mzdata,neg_23.mzdata,neg_24.mzdata,neg_25.mzdata,neg_26.mzdata,neg_27.mzdata,neg_28.mzdata,neg_29.mzdata,neg_30.mzdata,neg_31.mzdata,neg_32.mzdata,neg_33.mzdata,neg_34.mzdata,neg_35.mzdata,neg_36.mzdata,neg_37.mzdata,neg_38.mzdata,neg_39.mzdata,neg_40.mzdata,neg_41.mzdata,neg_42.mzdata,neg_43.mzdata,neg_44.mzdata,neg_45.mzdata,neg_46.2.mzdata,neg_47.mzdata,neg_48.mzdata,neg_49.mzdata,neg_50.mzdata,neg_51.mzdata,neg_52.mzdata,neg_53.mzdata,neg_54.mzdata,neg_55.mzdata,neg_56.mzdata,neg_57.mzdata,neg_58.mzdata,neg_59.mzdata,neg_60.mzdata,neg_61.mzdata,neg_62.mzdata,neg_63.mzdata,neg_64.mzdata,neg_65.mzdata,neg_66.mzdata,neg_67.mzdata,neg_68.mzdata,neg_69.mzdata,neg_70.mzdata,neg_71.mzdata,neg_72.mzdata,neg_73.mzdata,neg_74.mzdata,neg_75.mzdata,neg_76.mzdata,neg_77.mzdata,neg_78.mzdata,neg_79.mzdata,neg_80.mzdata,neg_81.mzdata,neg_82.mzdata,neg_83.mzdata,neg_84.mzdata,neg_85.mzdata,neg_86.mzdata,neg_87.mzdata,neg_88.mzdata,neg_89.mzdata,neg_90.mzdata,neg_91.mzdata,neg_92.mzdata,neg_93.mzdata 
mz624,6807.853397,8428.069746,16379.28588,10247.3073,6438.238828,12147.99842,14188.01618,14819.92947,7083.092983,5149.123652,13677.21529,14131.71437,5094.971771,10648.41289,9161.417352,15225.41564,17930.75855,11995.24895,10296.77262,15688.90433,10461.17504,7572.715135,12500.68945,23968.41265,2805.179238,7480.668664,10849.81959,30244.21141,9233.416738,5323.031514,7696.109469,12192.26848,5771.907012,11757.54161,6524.288085,8393.117748,6502.659443,27276.82178,23219.16699,23019.02288,7533.302882,13470.40816,20705.62109,14232.01019,16979.51807,19030.17142,16855.46114,15024.05479,21090.94023,25158.45029,13684.23468,24830.59935,22018.95554,28704.29915,15776.92138,21215.25933,4180.334004,27777.14576,20989.62957,29605.88306,9363.211758,10189.3766,21639.34518,29266.09102,18673.86619,18038.91675,13880.76708,5454.099111,25949.45376,32039.69887,18760.14606,27194.98977,15218.41769,10601.37035,8886.7123,9330.506797,9976.829181,3633.817529,6173.010703,8966.874171,10612.88241,9177.287072,13232.82143,13544.67052,9423.874039,10724.95131,12579.66426,10840.6094,7462.104434,39343.76786,12101.09262,20846.04408,7649.664466,10635.30164,3324.33154,4676.015566,9674.985348,11384.57059,6092.403575,14352.36643,12241.41142,11715.22266
mz625,24241.2849,25019.22835,27393.99023,28203.18779,30323.86215,31463.05805,38819.43417,40372.32693,40598.3596,23728.34496,36002.24825,30632.5951,51714.18652,40083.28383,30668.76645,35288.24161,20755.93945,41959.24107,37958.78594,20804.13879,26265.27871,34731.5531,29575.13793,21176.59128,15343.49531,26519.01442,18229.08252,27955.84341,23906.91503,19036.14932,34083.04387,29637.78287,18431.5707,21304.02481,15396.46518,29362.25883,9629.997187,12537.66211,25367.34504,19587.17227,15727.21562,29144.63388,44200.8918,38443.202,23227.08313,33746.42803,18334.69172,17468.81479,23453.39347,54353.06057,40387.26044,23449.86516,35961.73986,31590.39094,40788.23065,28651.28483,18338.19084,39740.49139,35005.65188,28844.16112,33359.7713,40082.2892,28633.54421,24821.8302,18338.79881,34681.46964,21505.00568,33311.95137,22062.21463,12195.39884,16147.24523,9404.254219,23540.46539,16461.5978,44864.51915,20923.24371,36853.97473,14215.84815,22764.02813,35691.44137,15690.04485,16071.57772,32014.01469,25181.92786,36191.28077,26686.336,26053.08791,43361.13285,32411.28407,35956.42487,37884.94093,35790.04254,32914.4988,10344.91348,13408.90732,17029.4993,15105.99891,36214.50196,10851.76717,27803.23894,28653.40652,20082.42644
mz626,108578.6112,103814.9491,104176.645,103153.5718,102549.2201,104399.1006,89931.6604,91062.28779,91821.49115,99640.55578,134963.6911,164631.5795,145112.1797,495347.0401,138508.6721,93472.61922,83953.10229,146275.4497,127547.4823,65544.64446,259513.9279,145646.8289,77705.5442,117331.0687,88250.41166,171331.2152,166146.0014,41449.67398,255397.8968,146470.6587,61880.15173,120757.7625,173521.5285,74936.11348,180204.3874,224832.8237,350567.8531,608132.3551,98404.29461,129694.8364,102192.5159,100755.7042,552619.5273,561154.4948,146977.9647,155831.7955,143699.0289,89498.3444,106935.6364,158614.5524,204174.9551,134446.767,242619.7761,80125.07559,59673.20931,114674.6537,111472.4385,505898.269,492939.6102,59401.8682,208035.7528,143284.3557,101549.7849,84113.16066,100325.3437,164635.1473,270636.3938,120752.1435,103555.7147,250501.5763,172594.6238,53411.81405,88825.86034,35493.26524,115348.1392,80586.81792,77925.23666,61066.18151,84414.57533,53306.46584,276347.4698,73503.6816,26438.45223,111537.0863,101988.3688,46766.07015,105684.271,60428.08481,119066.0392,52208.50084,183529.5133,134357.4569,239646.3128,123568.2626,105566.8071,91929.35613,253465.0794,105585.2616,126120.3605,147652.559,53485.02608,85703.1339
mz627,15994.97603,39272.80653,46508.40959,57736.10734,94372.34439,105365.1406,67139.44293,98927.12843,121257.1154,20621.92951,75726.89737,79152.81608,155102.3355,164308.7844,76375.7809,101822.474,93798.05673,118689.2575,83913.5896,89047.60839,68201.33908,113876.1023,103073.762,121144.5061,76172.1765,75608.9809,45235.46677,90538.62417,73497.4661,62986.70692,113513.2991,164815.8599,135832.8294,28069.30415,42391.16455,168112.9783,52534.31167,45217.50002,124819.4871,81547.25732,35456.0168,136137.9188,115959.6534,184187.2758,235409.9937,187175.4867,73580.37882,40699.03433,168337.4175,110660.7697,148502.9547,126644.0601,89918.11377,137314.4186,135678.3452,202433.3601,217738.3117,85015.35993,119756.0993,180748.5188,111331.0903,103606.0065,181709.115,166766.0418,189920.4031,154227.7714,124077.5275,352794.8134,96617.36795,64350.73473,74857.1351,14698.54566,53925.83959,17781.23401,63346.88672,83379.12144,100516.7232,27548.80666,32739.36066,14028.65654,83017.20182,55084.54214,48416.68938,73280.84729,109445.1241,23434.53092,106115.6198,42614.70214,145504.5509,120626.368,65410.90251,89460.3706,88139.92796,27727.71106,68635.11446,56399.11683,20552.43059,61054.64821,38892.3758,50750.08309,45068.22195,114719.4723
mz628,150369.5274,161575.335,213767.104,219379.5747,215264.5758,218600.3229,227251.5667,229320.4669,247416.6694,257880.578,268648.1039,289390.7561,234663.4548,230461.1526,244734.5391,238423.1688,286385.4842,258762.405,196673.7778,204802.7601,87071.13375,229272.6616,151845.2569,277470.1633,218770.1782,307716.472,248278.6647,184553.9787,216658.2412,254023.1679,108356.7375,271006.9318,242069.9871,222556.9163,297449.8064,159114.0277,161043.0964,141397.7039,193433.9228,281852.2204,225751.9045,257894.8821,287884.9305,241986.2006,203866.7239,290966.4919,272463.8267,268066.0122,308709.0224,281812.4892,234789.2775,185385.1503,319566.5343,198629.3285,186799.9664,283677.9715,254079.4311,276083.9541,196658.215,172936.4807,279955.1158,206648.0337,158411.0834,218949.5589,231286.8332,257781.2355,353025.6632,187348.1854,245047.6282,270603.5484,244897.2473,322863.5589,324094.9883,254627.2603,278240.8992,312280.1878,219173.7488,248400.2103,275340.6316,199416.8329,276335.6599,255961.2304,161086.5868,257812.8113,228263.6873,147810.7535,216306.7953,140025.555,167697.5542,192909.9041,273816.248,231140.8653,128684.589,240724.6764,218138.092,219173.4987,308858.4075,183884.5744,218283.2466,212262.9441,158759.6886,253745.9514
mz629,13744.43602,17030.17412,15290.75699,14632.50525,14325.15202,14800.00888,12442.16511,12286.30491,11806.03265,13353.85023,17405.20445,11570.2525,12929.89662,14392.04498,16293.7015,10208.01064,16845.37114,17352.66285,9287.303399,12705.404,14523.98175,10118.11855,11644.01725,12838.38566,9397.691077,14441.35087,12958.73918,10210.34306,13841.16638,11994.69303,8255.398457,11780.38377,14003.4017,8826.441211,12401.2127,12969.1367,29165.10503,13386.41537,7503.701735,14469.60085,13728.06938,7497.626821,11991.45803,9140.05292,6840.91934,10717.09072,6617.764331,8206.680718,13692.60751,10736.1163,7349.195068,6421.206419,7653.976699,7044.731985,4471.724502,9036.553283,9740.258965,10622.30891,7836.656571,9003.564958,12868.57702,6691.671535,8570.008617,6289.657303,9092.324932,10475.69421,8185.116152,8284.965112,13173.62165,16994.44699,12599.11799,9916.160234,9292.392073,11975.80074,18544.05643,9061.476963,11408.8407,23256.53756,14791.21191,10492.08918,19546.59724,18248.93077,12456.90053,14291.36153,10142.0976,10629.8013,16736.18213,13738.42585,15251.03148,9944.097363,15755.37063,9887.644166,10400.28912,14689.64457,14472.61185,14199.61958,14197.20413,13670.2462,27122.75912,14780.77634,9437.873079,12622.234
mz630,69570.38331,75752.01201,80470.46608,83456.35222,86479.82834,98469.2462,112386.3386,112303.0777,118666.4374,61928.06772,92479.52573,112425.6823,107553.4374,163732.2809,95122.60391,126144.1564,121307.7437,117593.0924,105583.5697,55529.07083,126461.4221,89207.74728,102977.2753,96256.96716,88946.1198,70819.58571,88398.38444,75180.25743,146117.5142,66932.22099,87382.19942,108110.4794,108864.7259,76021.83796,81952.4048,100696.7004,86395.44766,79484.82103,116656.1164,136735.9856,80422.03937,97272.0974,104263.6642,144559.3186,85230.07326,199481.3037,83989.90758,84476.01205,153818.4444,152396.2759,172239.2283,58488.94375,152235.4452,96678.10898,107758.6041,128649.9962,110748.7946,86266.74042,164767.1657,67839.47201,171636.2112,108121.0517,108116.5428,92051.7619,108633.2892,86983.7551,94876.45719,90449.86457,130752.6662,50862.89723,66640.00463,77800.64843,129525.8893,67463.2232,111574.5881,129487.5337,129746.8651,87113.17135,100643.5485,149049.3699,146401.2917,72128.25204,68701.26501,163759.6226,123359.5211,77903.14628,110441.4544,90890.03728,146681.3373,92920.04963,188304.6099,156275.8275,101131.2275,93233.1388,92081.70231,83954.42429,71130.77796,122360.6529,104012.2369,115741.1792,117064.728,159733.9503
mz631,2878.102403,6698.831324,3753.356777,3931.662978,6520.513659,6113.771021,4081.078307,6466.320075,6113.301023,10121.13532,3581.478984,7455.875069,10246.65783,6881.342714,7115.883093,12700.85114,8111.608972,10497.21309,5589.056851,4570.218655,13025.3957,8561.697437,7144.718846,5897.106436,7559.936407,13435.29299,6669.620713,5006.734172,7987.736556,3656.224231,3149.582427,5303.626156,7883.576469,5270.732842,7175.026415,11156.51913,12155.20248,7789.967053,8884.55067,4994.459219,2471.3232,6947.351489,18728.60613,13472.74226,8703.783331,6477.369991,5557.04072,6880.659721,20066.99086,15695.33132,6694.803623,4228.210202,15333.61559,2714.370093,3985.31617,11182.64532,9914.548452,5796.064336,4649.260005,6215.108632,3770.905502,4738.246075,3796.862404,2837.235736,7864.919283,7738.784327,3755.319399,8318.076302,4275.008791,7858.261057,6970.360121,7724.358345,5218.894449,4016.526627,4206.089795,3596.343048,3239.736211,4148.983856,2872.287802,7180.381124,8342.067438,6552.449355,3927.976852,5717.427845,2414.944688,2266.354131,7367.251767,4602.342112,7685.236116,4327.916233,3726.075406,2426.84612,4054.504263,5372.15503,4543.713277,3055.073911,5259.965389,5115.617225,4957.307808,6128.679089,5501.604439,7041.78971
mz632,4613.14196,5376.69738,5753.256151,4980.223246,5146.756553,6129.785334,13121.65359,15909.09598,14413.20375,7689.995984,9336.722871,13806.84021,5441.419547,7419.573047,3432.786405,7340.654013,2192.229737,7573.631184,6327.950891,3783.139013,2241.461059,6512.42173,4393.459933,15218.07188,2675.8166,7104.89825,5138.212552,5463.058868,1054.655371,2342.312321,2385.727581,5453.440664,3823.163482,10042.71434,5486.05674,7739.489962,3905.090604,12027.99985,4026.633127,4235.90518,6239.827939,12920.40873,7626.120293,19019.98688,6406.491219,6625.498076,3901.719682,5278.811378,3957.83963,5646.285015,12556.59041,2933.987072,5228.268428,13634.43284,8388.766992,10444.74771,4827.154307,13474.27526,4265.633526,2217.156845,1140.270483,1948.96998,1288.140754,6804.523736,3022.93813,8827.095117,8912.166024,7465.597122,8339.260296,3408.575758,6543.955052,1044.353363,5533.932721,3960.78917,6830.47994,14763.75279,7906.517227,4365.335176,3529.731099,10860.24495,1575.391239,2823.7631,4330.854958,1734.273141,3388.577941,6436.109918,4617.429432,10896.59783,8655.693399,11054.71362,2219.084897,5621.890845,2845.461537,9832.723905,1642.906525,11459.60834,12103.08394,12673.50404,4342.677187,8941.61731,16370.2582,2671.138162
mz633,7687.548356,16044.30997,16055.53585,15329.28193,15425.92113,16967.91006,16182.86808,18195.96533,17675.55754,17108.4441,13953.8007,19821.36389,9989.731493,25438.57316,9587.990725,20569.81991,27501.61456,19148.23871,10829.56723,19460.22146,31557.28688,15024.15703,23179.73189,24604.59082,27739.97883,22198.04609,15226.61644,23697.64535,41395.73332,30175.78566,30606.8509,28496.86655,35199.77372,16512.12117,39955.4776,14888.43462,35528.01134,19718.52904,27879.35096,42227.72359,28641.20158,3618.432435,10288.86961,4337.292821,50439.17412,26303.53209,8277.403024,25997.89527,18147.96063,16663.46125,25805.52762,8279.960663,41118.68601,10850.00073,16060.1787,17530.2003,17973.90891,9833.787475,31646.10246,12173.00613,33364.46578,19702.33901,20296.09014,13369.78897,21130.55658,25742.83254,27740.93314,5518.485208,27871.41401,20570.44717,27930.48776,17529.8298,11110.36378,7800.569766,8909.478009,11554.38042,3593.901419,19756.3497,4329.668942,12787.14432,11675.97289,11198.66443,10130.25647,20216.6607,16820.49586,13965.66981,13982.72406,20171.08348,5094.039844,16805.13035,25349.13302,17076.87109,17144.98861,23915.89418,27081.41061,12216.20492,24136.52839,9961.374316,27967.66053,17243.2938,11352.97331,35382.73827
mz634,292129.469,286160.7801,273074.7246,275485.5282,264517.8425,266301.5119,232526.8757,229148.3379,241898.5508,267939.2163,243889.4929,271157.8468,237953.5102,281647.3898,276591.1779,277608.6307,258628.5622,224322.6784,276109.5709,285722.1638,240006.1906,286142.4042,266600.3353,269225.0673,274803.3011,270199.9416,300683.3712,276357.2038,259937.6219,287382.034,268251.7292,271767.1388,252604.2361,245554.865,265747.439,190458.7823,205336.9684,251754.9574,278137.4024,239613.7403,260040.6624,247497.2587,240195.4181,241359.1618,247930.2678,249033.2707,279921.5205,276904.2537,231028.1208,234167.9228,265487.4533,267865.6327,223151.4712,275415.8991,238734.7581,246893.6964,262817.0785,226670.2467,262485.8993,262183.07,236880.1536,287474.4154,243056.5845,255228.322,256114.8754,256626.411,249825.9995,244660.6127,282898.5214,283251.6563,270766.1603,239628.9792,237695.8173,276301.7934,219825.1576,238930.3486,203812.1798,260856.1701,267309.5554,240683.7205,215699.4373,249319.1752,249137.9093,223556.5345,262698.2368,237550.2637,222100.432,256080.5031,240627.5755,224724.3285,211207.2521,231458.7786,230903.4204,264700.6366,256045.2492,231579.3116,250191.2244,195616.8267,256337.1278,241979.2588,250917.7826,214741.4901
mz635,610418.6286,607595.0031,581477.6558,573212.8917,561279.8898,558971.1794,497185.7432,488835.3055,516487.638,584058.6719,530648.3544,559209.5437,533985.7727,581355.3673,568609.1694,581727.8136,560417.271,497257.1551,568916.6073,602847.3497,507750.4151,591666.8824,568367.6103,568591.4498,568209.3934,570609.1958,629103.3066,573118.5409,539080.4393,585936.7572,561468.3269,559846.5829,530199.711,523870.7079,561277.1657,474824.3648,518294.2075,549275.234,576437.0245,510904.6166,562598.1196,532229.2218,518472.9719,505544.4802,539843.1643,532434.9366,567165.4647,589557.8558,494235.5296,504737.2807,549097.9536,545120.8365,491560.5871,558702.3828,520184.3631,534483.7616,551342.5353,507125.8007,547270.5158,557257.7654,505992.071,595712.905,524351.2323,539688.3451,526007.8584,548362.5393,525495.8975,520818.5579,609537.5175,599431.0526,591004.5226,528630.0013,513099.4343,587801.9574,480032.5991,517448.8018,461759.9798,567415.3891,549055.8841,507021.4031,476099.6628,557801.6617,523474.7707,482044.0166,542922.6396,523684.2502,477891.7932,524511.3656,495223.5362,492254.8921,459689.1586,488057.3391,490380.2775,580039.3157,540431.0719,501095.8955,540237.3485,450271.0994,554521.3897,498294.6406,522384.8437,460610.5752
mz636,16995.15202,16893.83956,13492.24889,15515.14336,11148.8928,15104.08909,11567.45624,12079.29484,10556.82697,12717.16712,10848.32371,15070.36595,14972.49707,10907.51605,14668.11871,6756.656498,16182.15154,12552.58974,10794.72605,9434.538434,13774.74851,13462.77162,10071.50834,11439.27448,4507.86524,18441.87723,16865.47448,11157.4477,5656.898249,12562.71947,9577.733574,13665.6317,5657.537677,13850.42386,15938.06056,20871.86683,20479.17176,18085.83663,10179.22055,13640.80032,13499.52823,5462.02923,14344.83589,16083.80141,14245.73102,8513.807128,13333.45078,13673.04436,13556.75103,15001.70732,12779.1207,11221.38449,15242.97932,9194.53834,12728.41843,13928.06153,8097.70497,14750.03527,13384.54633,13271.63803,14500.82013,15256.376,13068.02346,9912.883503,8849.246478,11102.12963,16311.22087,12369.04299,11719.1731,22502.46004,12125.99829,13116.27272,15215.02142,6118.892336,11002.89972,11203.22491,9722.305343,12909.27465,13722.00681,12598.96025,11853.96782,13628.66785,6635.379727,8352.882445,8364.589224,8700.378701,5896.575729,6179.558837,11640.9947,12295.48368,11829.36396,9418.00537,12517.37432,15474.53198,8716.567029,10543.00301,13522.41906,11663.0124,10470.0177,7033.731564,4598.588462,13623.93002
mz637,29043.9068,60038.60126,29151.22144,25094.70855,32665.5796,35414.20681,31749.98469,43410.15131,33307.37749,30192.71655,52886.41934,55993.33247,55847.531,40075.28969,56535.52125,54401.39818,32818.32433,58389.34233,68741.00414,35296.12606,51568.07365,77375.37672,34722.72822,55592.97335,36623.34725,108223.3809,41907.37425,31365.25139,47755.19684,43862.74191,24252.32143,46950.63381,74779.63494,37056.95461,26064.55056,69835.86343,46430.45967,28669.62747,30572.88963,37309.54787,19682.19556,62841.19163,86914.39572,64190.17911,80987.99811,56044.58886,100417.3129,23130.70551,32434.41685,59693.72613,98616.51384,51057.7532,51809.76539,46243.86865,43939.68719,62371.32641,77014.46784,64272.64829,51419.68521,67637.8295,41680.45498,71974.12511,42531.61456,37351.94643,44611.09481,73580.46018,61096.32114,61945.86197,29508.41192,127392.6836,23748.70323,15375.89384,34671.63205,39701.45405,44011.80757,27214.18956,25978.29463,16686.52935,25460.14456,33420.16335,20732.24673,50725.30849,30566.60054,24427.83414,42431.25892,11193.29861,32366.43871,10961.51699,27358.75737,22524.88962,29053.26062,52592.21303,24588.23882,34640.11623,33184.21146,45448.17265,24581.88282,59778.48499,21815.01515,44897.86441,10116.27965,18623.29768
mz638,55524.46796,66360.06734,64597.53496,48412.86797,64037.68128,64623.23296,44574.29445,53632.66804,44400.2601,20563.75461,27404.20238,58466.3304,43421.78521,34428.93882,47361.13122,55746.0938,50063.92826,41284.35802,52296.19324,48987.27263,41362.77381,34602.90924,46424.03956,36787.04135,40676.05383,41162.73161,21179.87249,62141.62107,46678.10523,69617.62377,85645.67869,50998.44212,61527.67818,36959.61169,57115.04399,33623.41056,29912.17602,73747.0479,70518.40142,49693.77112,42718.20472,29815.97053,46340.98616,41858.14038,43968.91816,26819.46595,27161.94539,71613.25962,48989.68452,33267.77379,54602.40023,57309.88547,69327.94764,48129.62273,36980.19838,35903.81497,57645.80066,41610.30178,53098.47056,108097.1433,64624.7541,71023.35434,52762.8137,61941.4758,72515.72619,49449.25674,69056.30875,42629.54857,41153.33063,73662.6935,103802.2753,69823.6394,65976.55181,18154.51431,20380.69465,36441.7639,18159.83602,46361.34014,39852.67043,39317.19169,37338.95961,39318.5775,89708.12301,29528.33518,50247.07143,24757.32085,51658.33279,23671.90809,51307.29147,49740.17182,51951.89959,59025.40908,35796.01945,32705.29128,40309.57805,37384.50004,46992.14005,39390.23338,61734.91829,61381.62882,38213.2025,37501.76302
mz639,2227.45152,4301.552298,4857.47316,5130.077293,5704.953163,6802.257039,5861.202987,5346.215969,5985.742767,2861.703281,4979.999313,7793.425186,9093.251779,7605.484805,6927.619189,7535.791582,3948.276397,9026.285253,5487.595627,4924.964442,9881.663729,4176.646459,7546.673549,5195.242183,4594.250949,3491.675082,2924.077875,7262.560753,5871.779337,2174.727051,9979.348429,10136.13963,4894.609102,4390.878239,2948.879795,4873.553183,2520.074905,1954.487268,6569.01897,3735.314766,1452.068545,11098.01563,8498.37442,11330.04501,4410.600293,6166.726217,4970.642933,3776.418382,8004.438904,12903.34571,11041.20556,9877.956462,11437.52092,8963.764092,7369.735988,17328.82532,8465.775224,5542.206123,7660.177738,5967.634512,11213.23106,6071.287088,7892.141629,10772.18648,12330.77197,6556.829274,5083.954942,9929.133597,2589.170151,1642.296336,1686.243078,2994.198553,4821.044233,2388.034863,6586.368908,7401.015964,7499.54172,2432.938284,5605.092398,10042.57154,4493.234999,1329.335219,7317.272572,7588.176267,5197.94825,3263.774706,6426.080334,8080.969635,7845.738925,12257.40597,9886.655061,9867.906372,15012.96719,3244.164978,5622.194943,3159.996867,3333.533649,8833.183012,2647.234605,7638.918427,5553.930938,7921.132896
mz640,30801.88172,36744.65072,37389.37316,35757.4557,36936.01685,36139.93687,43673.18227,42240.35303,41578.21457,38840.87625,31627.25512,41273.98663,37980.57773,40675.84781,39873.92565,42339.38742,40977.74625,41362.55223,49643.97338,34125.00432,42686.69695,51840.53904,47604.19226,42270.76112,46755.4383,31299.68809,50673.82031,34560.76043,50161.74771,54494.45643,36337.10145,35414.85914,44982.96234,38390.77391,42957.74963,40554.20356,36006.88559,38329.91801,42662.0116,37231.63266,42708.71798,34238.27602,38563.75926,47092.064,43980.47865,48332.83315,35357.88562,38981.62668,47777.31668,42885.14253,51686.72592,25192.08524,47595.09797,63119.44172,34482.75366,38678.59884,38452.65311,29577.83695,51566.74357,27930.6368,51520.87518,42548.39634,33732.76242,34511.64265,39725.25375,37709.33484,35619.47684,40381.57128,41637.80747,33481.57172,7259.827872,39158.15312,44785.41397,39677.36512,34652.29922,47927.56433,45437.99259,49211.27955,41192.52838,46906.56424,45577.40484,45378.85544,30843.78865,60927.48797,54262.30584,34996.61857,49012.60172,30107.93493,53062.85921,32542.05188,49510.43913,51483.08916,35682.67885,52818.14579,47634.40723,40803.78422,41384.70256,39594.677,48933.52114,41975.44301,34992.31523,44326.09664
mz641,14149.59954,5962.772147,15780.64334,15228.49743,8452.490625,17053.43163,10733.34539,11941.76086,11711.03836,11946.15426,17146.87637,15822.81012,15134.86431,18260.7993,22884.84328,17686.69242,16550.57809,15805.04313,6615.181881,14734.92173,14992.02,16049.54779,4188.064689,16240.81674,3175.907871,3647.5604,13120.2163,3447.869248,15571.5565,13152.36691,13361.65143,5806.27984,16580.35558,15447.1599,15441.63673,16108.65395,16038.64385,10215.94734,13383.35198,16075.47658,13315.16269,16625.63378,19252.3101,7532.813734,15637.38126,15963.57795,2104.764048,15378.63322,9056.942998,15511.43868,16923.88523,12639.98227,15910.07895,16697.97242,19596.33732,17747.91645,19753.85072,11804.31601,17940.51099,14746.10001,19116.82379,14447.67239,21434.45811,15913.12636,23642.11711,13387.45234,16259.82641,13988.88855,11287.37957,7385.233242,13196.13049,16956.23823,18291.05994,16890.87544,25056.03521,14009.60359,11737.42969,16281.69994,24296.67046,16310.67895,3729.774212,9780.17547,17182.048,9062.317735,18082.89195,11421.17383,10627.41931,14672.5643,22313.57217,20318.23154,18591.38426,14898.09258,16006.78494,6778.154473,8830.735898,16752.7276,12281.88949,18024.64706,12847.01802,23304.20382,11187.87715,18073.55896
mz642,38974.33958,36730.48481,38225.34655,33200.69047,34616.98451,33999.20394,44052.29368,38745.17003,41165.03607,46007.98171,37210.42739,32653.5252,34576.91738,26476.6815,36379.16912,34455.97363,25313.73482,37677.78823,31976.65583,40343.98123,34956.79186,24545.11558,44244.59461,31068.8195,40569.5201,32539.4101,38400.51055,38118.22037,45879.5792,23124.34051,35187.10556,33422.97564,44111.43758,53904.08883,30254.93154,36566.24654,26780.17921,42066.71154,33031.14984,27065.4301,56606.51634,42470.97775,31434.21975,28349.84392,35029.61323,26174.00218,36339.38497,32732.62779,22597.85092,37582.4727,33921.56659,35952.29291,42644.13179,31466.48407,49316.10402,34911.67078,40190.43736,40521.82713,30260.79509,35762.98974,43908.9803,24895.5954,41049.8719,31924.53423,38205.14305,46894.82365,29978.53497,33393.86845,48179.37085,42083.95316,38355.43983,25785.47608,39595.19245,36620.44241,27783.57802,16612.88653,28804.76716,26798.9479,21226.99713,34429.80642,20282.5134,32664.32703,27366.44432,36382.82504,20857.89964,47781.28761,35144.66174,31225.85451,28684.63457,29220.22488,36842.63622,21942.23221,34759.41986,29477.91486,41636.99152,47475.69489,27888.27111,29753.12661,29982.15442,28142.08958,16349.94153,20807.89225
mz643,15037.51693,14293.38369,15839.44799,17395.93928,16776.94875,16952.30895,19553.08073,17899.53066,21762.95314,45630.86736,48228.33428,48262.66985,36991.81704,35318.29686,11528.5441,9439.387734,12922.70033,27112.00929,12173.68313,14412.16191,17182.88654,22317.71236,30232.33391,22109.8244,11308.73109,27071.46779,16760.4706,28166.93978,24070.10827,17571.43978,14448.32655,24641.44499,24028.46425,20314.48141,16097.07841,22726.38696,17327.30895,11051.47073,25034.72174,23447.29722,15104.1638,35314.07887,14887.02698,18796.80489,14484.58611,20663.06493,14408.81033,23785.20633,17873.89234,27194.92901,11400.36202,22273.68363,19408.881,14057.63332,23058.08573,26384.51972,24703.64339,29759.66651,13186.44557,13356.22372,20143.23253,19543.741,13773.55525,20030.5875,36489.63038,19522.35006,23837.65862,20745.27357,19828.57541,26071.63964,13695.275,19319.03906,20455.85332,13147.16473,21956.51122,9835.762617,15843.28875,16915.5967,12921.0552,16465.97019,17885.18162,19772.21372,12129.86055,22497.49823,11171.8468,19098.82693,16467.02115,23574.89213,14126.37957,21301.34097,26299.68481,15674.61645,30750.69628,27917.49181,19773.55666,16748.29092,21546.76364,14336.15813,25096.09676,17116.61543,17302.06227,24600.052
mz644,5809.940039,8560.455983,5926.818017,9466.351774,10065.60498,8168.602324,14417.29066,15526.54399,14073.93532,0,0,8308.187055,5854.272027,4342.850566,8901.923495,2160.826283,0,1450.616168,5143.21931,903.8736486,4099.99025,7561.899964,4727.087782,5263.971211,5715.854714,0,4347.281602,4006.961426,4073.060815,9698.742893,2598.74936,4048.631114,5138.542031,3697.203217,4799.032383,3647.067324,5335.726325,2314.897249,2107.140329,613.7681356,1523.698477,2444.609024,0,3699.204216,9690.514658,648.2152236,2989.457824,533.430614,518.0205665,837.8484001,2773.008707,1677.57165,3296.29946,10113.74977,2943.145755,2093.769063,1548.423895,0,2183.424935,638.1686024,1296.3101,14820.30633,1506.44869,8017.940867,13426.5184,8384.74793,10276.2181,15093.97772,5736.951572,17877.88802,8087.548261,5911.747952,10459.31455,11009.97979,3556.026035,13991.63742,18030.93316,5737.610391,25759.36411,10317.31137,12701.77125,10844.76559,8020.041412,17399.94459,17755.80441,14401.00388,13215.29208,6157.604061,2372.878887,18375.84785,13501.69797,30718.00149,13943.14567,26414.03214,16229.19221,21790.30096,14745.84761,6671.587295,9027.653834,4885.846693,5064.504495,11473.66856
