,QC_neg_1.mzdata,QC_neg_2.mzdata,QC_neg_3.mzdata,QC_neg_4.mzdata,QC_neg_5.mzdata,QC_neg_6.mzdata,QC_neg_7.mzdata,QC_neg_8.mzdata,QC_neg_9.mzdata,neg_1.mzdata,neg_2.mzdata,neg_3.mzdata,neg_4.mzdata,neg_5.mzdata,neg_6.mzdata,neg_7.mzdata,neg_8.mzdata,neg_9.mzdata,neg_10.mzdata,neg_11.mzdata,neg_12.mzdata,neg_13.mzdata,neg_14.mzdata,neg_15.mzdata,neg_16.mzdata,neg_17.mzdata,neg_18.mzdata,neg_19.mzdata,neg_20.mzdata,neg_21.mzdata,neg_22.mzdata,neg_23.mzdata,neg_24.mzdata,neg_25.mzdata,neg_26.mzdata,neg_27.mzdata,neg_28.mzdata,neg_29.mzdata,neg_30.mzdata,neg_31.mzdata,neg_32.mzdata,neg_33.mzdata,neg_34.mzdata,neg_35.mzdata,neg_36.mzdata,neg_37.mzdata,neg_38.mzdata,neg_39.mzdata,neg_40.mzdata,neg_41.mzdata,neg_42.mzdata,neg_43.mzdata,neg_44.mzdata,neg_45.mzdata,neg_46.2.mzdata,neg_47.mzdata,neg_48.mzdata,neg_49.mzdata,neg_50.mzdata,neg_51.mzdata,neg_52.mzdata,neg_53.mzdata,neg_54.mzdata,neg_55.mzdata,neg_56.mzdata,neg_57.mzdata,neg_58.mzdata,neg_59.mzdata,neg_60.mzdata,neg_61.mzdata,neg_62.mzdata,neg_63.mzdata,neg_64.mzdata,neg_65.mzdata,neg_66.mzdata,neg_67.mzdata,neg_68.mzdata,neg_69.mzdata,neg_70.mzdata,neg_71.mzdata,neg_72.mzdata,neg_73.mzdata,neg_74.mzdata,neg_75.mzdata,neg_76.mzdata,neg_77.mzdata,neg_78.mzdata,neg_79.mzdata,neg_80.mzdata,neg_81.mzdata,neg_82.mzdata,neg_83.mzdata,neg_84.mzdata,neg_85.mzdata,neg_86.mzdata,neg_87.mzdata,neg_88.mzdata,neg_89.mzdata,neg_90.mzdata,neg_91.mzdata,neg_92.mzdata,neg_93.mzdata
mz11,5690.826826,6508.039805,6007.191469,5669.466048,5795.579492,5583.590508,5741.912168,4365.533412,4147.407127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.4121988,0,0,0,0,3221.507034,6258.660178,1463.215707,0,0,0,369.7309823,0,0,372.9622109,411.3830725,323.8865229,0,0,0,346.5154226,295.6472759,0,292.1938261,0,0,252.1184941,0,0,0,0,1175.377795,419.75675,0,522.667269,0,0,0,0,0,0,0,0,0,0,0,0,440.4067536,0,0,416.5144465,0,0,0,0,1013.45701,0,446.5856094,0,393.6094385,0,175.3498362,1835.897986,1096.346498,0,0,0,0,0,0,0,352.7876151
mz12,16850.32125,6743.966175,20003.15002,10285.28927,18525.80079,18018.31004,14777.028,3942.493066,6539.805791,677.9203406,1493.847508,1186.326179,1359.817144,685.3225936,1378.444196,1019.725629,1669.900856,1204.272787,1603.400284,1672.33754,262.5879285,861.2513553,1147.88975,1281.105766,1295.771058,789.7265457,914.9391406,2579.838054,1322.830304,513.9797098,1465.696692,730.4806611,1149.03702,1125.140858,758.883407,1212.647254,772.5985337,557.0033579,603.179277,1093.818524,507.9031225,1556.466985,1497.255034,1012.264385,610.5579473,716.8878,1341.054967,813.4646454,1041.537572,1095.882099,1675.390599,1274.365988,317.833289,795.6944051,231.7005128,1002.065225,1731.506395,776.2726255,2287.103316,978.7696959,1341.998496,1243.882246,675.1395358,1415.026636,2091.430498,1698.903953,1180.320626,1183.062785,558.725893,976.9729321,1391.059205,1375.926439,1023.603173,586.8822601,1325.771177,680.9269086,161.1664772,947.8595181,1693.24421,1677.288426,1811.021728,1276.711594,1252.857472,560.2728414,1111.678776,588.8707329,1510.512588,1503.305393,1366.481019,1117.995713,899.351437,1636.11843,1304.381944,1267.488927,1999.429767,1238.916354,601.4134301,1196.693143,494.042622,1145.323836,1315.618354,1423.902126
mz13,15980.26256,35949.19914,18666.13087,26307.59233,21942.52305,37730.9226,21212.89044,12223.0928,21850.27912,368.4874041,0,2153.608986,2210.242821,4059.208705,1658.785483,1299.168744,685.6322763,3655.265394,1908.505395,6613.087593,2931.813011,5274.796007,2745.464314,8592.740305,968.4896973,1474.833796,2824.349156,3396.016294,3556.54709,7580.932838,3938.632691,6488.00301,0,0,2300.031424,1077.365369,1109.219831,439.9344766,2887.728649,312.4935351,1264.207479,1538.832942,1106.419938,2071.519396,993.0834965,9327.312636,3322.201006,497.0124719,229.5901059,2156.489378,453.1645291,7518.986128,1874.141853,985.4563435,1380.235227,1811.331836,565.4455321,0,897.4520543,2613.288517,1742.920373,2101.734505,1907.185678,907.0097346,756.3033082,1247.496182,2208.783309,3299.962987,2685.560633,0,0,4306.866562,3233.871067,5532.791394,2287.732489,4615.284847,2402.364597,10377.61536,687.9988727,3084.00208,1075.969581,4076.176943,4203.365985,5651.75359,1923.676803,2608.841735,1043.553597,317.6404324,2887.280064,2519.032654,2267.643904,977.9647281,4073.662885,664.2966949,220.5208839,268.5152744,1554.607522,4566.472753,2600.790353,983.5156733,491.1793932,4840.6671
mz14,7026.424918,7847.015149,3798.365332,6907.404239,5367.158947,6566.188017,19452.09703,15208.87338,11941.10804,0,263.4453835,0,0,0,0,0,0,254.639423,137.1293071,616.3160838,208.0610902,0,103.6051918,184.8476724,0,0,0,346.5057247,132.2489052,0,0,850.7037897,0,0,0,364.6940006,1058.605226,0,0,0,0,0,117.3270696,0,0,247.0701075,0,0,0,0,0,0,0,158.1363182,0,0,0,0,0,0,0,0,0,0,0,113.1112425,0,113.8828691,0,0,0,0,0,405.2869109,0,0,177.2318131,159.0191842,0,165.2177931,0,108.2719083,0,0,0,269.4327418,0,0,0,99.85765786,0,0,108.9154402,133.6581305,115.2633765,286.6084147,0,175.7081549,0,104.4994879,300.5144017,0
mz15,2219.249812,2384.689007,3021.109063,2932.617587,3513.565922,4355.082277,6535.871836,6334.048204,9642.401579,152.6249207,388.7468614,102.3545152,0,151.7257758,252.8958419,0,163.1829174,428.6458954,0,0,544.5065697,175.0916585,0,252.8045573,324.9209627,114.3715324,537.7868362,0,258.0802869,498.057977,364.1554828,0,0,0,256.9016232,0,0,0,143.5786735,0,108.8307674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.4019774,0,0,173.6292415,0,137.9558811,0,0,0,0,166.5502822,541.609085,212.728486,0,248.0474945,0,0,0,303.5701766,469.9398953,110.2075729,0,249.4971692,0,0,0,141.9607956,0,0,108.7349971,0,0,0,0,236.1103955,0,0,0,0,0,152.0674088,0,157.9532113,0
mz16,62887.32279,51009.59879,63100.97914,65018.23005,64979.17826,61107.81309,41575.28689,39831.55865,42261.01787,9149.436713,26255.2749,8714.703898,10676.20732,4354.363747,11241.98101,14021.97331,14363.09493,27341.23101,17797.58827,10323.52782,8327.832173,11983.44747,10945.02796,14438.18442,8092.350309,17398.61682,16806.54457,3374.401786,10868.8381,6705.178399,12021.54475,18147.93729,6125.471657,11087.55541,6342.325638,0,7959.200071,190.8665813,194.4090703,0,0,610.9862137,0,309.7521558,0,200.9720947,1239.666413,0,0,0,306.2022802,1121.659272,0,1307.205423,318.4550647,518.771758,0,0,0,339.2584727,0,205.5202854,270.1029422,283.4453305,0,0,237.3089363,6642.803329,4841.158104,18624.60969,9261.98836,43416.24557,12248.34862,10594.68147,18340.30641,1948.861808,5332.640006,17539.56583,9658.124832,14422.25765,1189.810185,4879.66622,609.2966898,8344.404793,212.2491421,6316.074702,8790.944982,473.6710103,2853.915081,1967.345221,10500.45254,1258.904118,3681.340887,10862.61694,768.6888428,3981.510703,2774.723921,7245.199458,700.5705211,10769.55196,12515.42912,12529.52077
mz17,8100.019922,6751.111778,15126.50095,11885.0019,17321.05165,11222.37918,9309.474243,8849.548477,14034.24261,4113.480696,4177.884751,2509.026757,2699.877176,3181.543711,3867.241244,2843.60936,3232.928335,4029.604521,2487.058722,2360.6442,3228.360545,2512.368895,3185.035157,1932.761029,3223.941507,3105.109084,3113.347806,2430.445983,3010.994458,1337.868374,3182.228959,2696.207132,5472.135086,4832.666222,2168.494484,2858.84502,4250.812211,2811.549004,2837.863857,2889.917725,3913.306799,5263.520414,4443.716038,4706.831283,3134.049209,2793.516317,2231.483694,3067.699875,3707.317145,4674.760269,4746.445548,2169.282658,2523.985643,2821.597289,3206.861836,2547.068418,4630.566794,5622.295508,6081.809184,2528.931751,4055.384497,2629.941665,3066.58371,3381.048881,4555.380398,5902.145385,3667.307698,3551.589207,3713.144528,3788.956191,3755.709698,3788.776402,4105.501101,1956.213577,3525.377632,1653.568585,2975.180436,1818.44543,2981.953296,3233.815665,2797.200626,2537.850178,2536.276487,2592.437972,1629.966961,4415.581435,3072.946028,3872.596003,3076.445784,2476.095566,2950.940896,3333.121719,2913.826519,2504.317361,3751.939882,4372.777206,1654.207082,3290.696623,2230.934894,3346.114098,3896.965499,2810.838964
mz18,30294.51225,33398.26554,31803.82641,30697.93249,18561.13879,14457.7437,24497.4271,22517.33695,19254.15856,600.3984482,0,2249.986849,901.9043515,1225.16438,3439.029814,1791.604226,996.3060991,1653.372248,3786.237496,1383.545351,1227.112864,3899.868604,3260.898848,3218.476425,1473.827614,409.3424464,180.3367568,4869.459813,1249.508433,1168.996299,2814.027432,3105.862014,1293.966207,113.9542192,685.2450138,929.9936111,0,0,289.4670869,199.0964152,0,118.4279089,116.6212682,0,310.2335561,497.8281392,1464.769508,0,0,195.932452,206.5550279,2477.483136,676.7582288,3601.648425,1749.763246,878.4193129,300.5190127,0,1095.033472,703.0016689,0,1518.283392,474.3145441,1555.167373,2354.318653,658.0845863,732.4868959,10167.87611,1677.039656,3658.373551,3908.974934,347.5912688,3736.181586,2424.866866,108.5300303,899.5356081,2430.988568,1557.706889,30287.31461,4452.186065,0,1821.544604,5438.588679,4619.329872,7332.370083,10818.68939,1227.53468,243.4038466,1982.761847,3129.724593,0,1649.616815,3646.00582,2182.141571,1829.77009,499.5632988,293.0952998,5521.008752,1014.587178,3582.364977,554.329711,526.6776976
mz19,1250.462312,2348.134371,2099.323399,3833.097032,4448.22662,3889.835544,4813.946529,4423.980293,3083.194746,0,0,0,0,0,586.7844079,0,0,0,0,0,0,0,0,0,196.9935797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.24055497,0,0,0,324.8409553,0,3592.695592,388.9191997,0,0,0,210.9043407,0,977.4343146,1353.631423,0,186.624763,0,0,134.5987301,1206.968406,0,106.0236592,237.3495591,0,1533.677068,0,0,0,426.9991268
mz20,35625.1291,26560.99075,47816.30516,45610.65026,36039.17563,20179.81045,38202.49412,37336.37665,39579.73752,2012.176263,3231.062173,4721.912317,4728.696137,3488.467867,9776.128379,2875.291862,4757.319429,2483.87518,11664.06041,6626.010163,3713.795266,31469.67927,2786.419819,11105.88774,7978.649963,7445.335126,7222.408045,4675.049684,5746.006636,9558.977195,4030.379036,4544.173319,3412.765644,4727.49143,3359.53619,1915.057198,1045.811559,751.5682444,1007.517578,1577.916503,1744.725118,453.7012512,0,678.5046672,3828.09903,1306.640076,11456.77242,1026.030338,112.0430479,0,961.8920647,3925.176736,1826.499025,10976.31573,3018.548985,1625.538366,3096.466952,1895.264342,1056.660202,1648.573654,795.2666804,4476.998902,1826.088896,4333.958948,3155.228873,4793.154807,5793.643171,14348.56225,6348.238426,14837.15576,15864.30048,5121.42357,4391.263242,7968.03382,0,2144.173932,2752.165377,5928.34417,21720.63441,2435.669727,0,9611.240181,8631.275509,3953.095022,16044.69002,15761.65287,4538.895443,2034.999398,2835.461237,1384.059003,0,791.3668236,1534.987985,9184.557214,6018.555148,11964.13078,2630.541077,4097.861066,1721.958287,3513.112236,4631.781801,504.1885351
