NW-MRC #,Sample ID,sample.weight,RalLine,RalLine,Treatment,NWMRC_Block,lifespan,line.weight
78,852 B+ 3,4.04,852,ral-852,B+,3,114.168537,1.036666667
79,320 B- 3,1.96,320,ral-320,B-,3,107.4690509,0.898666667
80,505 B- 3,3.86,505,ral-505,B-,3,56.35609539,1.023333333
81,627 B- 3,3.4,627,ral-627,B-,3,53.14998588,0.933333333
82,730 B- 3,3.91,730,ral-730,B-,3,119.7186265,0.984666667
83,732 B- 3,4.09,732,ral-732,B-,3,53.4629023,0.902
84,787 B- 3,3.45,787,ral-787,B-,3,57.53811891,0.859333333
85,821 B- 3,3.79,821,ral-821,B-,3,90.36076149,0.964666667
86, 852 B- 3,3.67,852,ral-852,B-,3,114.168537,1.036666667
87,855 B- 3,3.58,855,ral-855,B-,3,99.756625,0.849333333
88,88 B- 3,4.64,88,ral-88,B-,3,70.00576742,1.032
89,129 B- 3,4.39,129,ral-129,B-,3,61.13881019,0.928666667
90,149 B- 3,4.21,149,ral-149,B-,3,59.58530556,1.024666667
91,161 B- 3,4.35,161,ral-161,B-,3,59.40789352,0.938
92,195 B- 3,3.84,195,ral-195,B-,3,109.4960028,1.069333333
93,239 B- 3,4.21,239,ral-239,B-,3,111.5966855,1.097333333
