negLabel	posLabel	sampleNum	sampleInfo	line	treatment	sampleWeight	runOrder	block	lifespan	line.weight
neg68	pos68	68	129 B+ 3	ral-129	B+	3.71	24	3	61.13881019	0.928666667
neg69	pos69	69	149 B+ 3	ral-149	B+	3.5	59	3	59.58530556	1.024666667
neg7	pos7	7	195 B+ 1	ral-195	B+	3.55	44	1	109.4960028	1.069333333
neg70	pos70	70	161 B+ 3	ral-161	B+	3.57	6	3	59.40789352	0.938
neg71	pos71	71	195 B+ 3	ral-195	B+	3.29	11	3	109.4960028	1.069333333
neg72	pos72	72	239 B+ 3	ral-239	B+	4.14	52	3	111.5966855	1.097333333
neg73	pos73	73	310 B+ 3	ral-310	B+	3.72	86	3	98.4402919	1.078
neg74	pos74	74	627 B+ 3	ral-627	B+	3.47	34	3	53.14998588	0.933333333
neg75	pos75	75	730 B+ 3	ral-730	B+	3.72	18	3	119.7186265	0.984666667
neg76	pos76	76	732 B+ 3	ral-732	B+	3.68	82	3	53.4629023	0.902
neg77	pos77	77	787 B+ 3	ral-787	B+	3.28	97	3	57.53811891	0.859333333
neg78	pos78	78	852 B+ 3	ral-852	B+	4.04	55	3	114.168537	1.036666667
neg79	pos79	79	320 B- 3	ral-320	B-	1.96	100	3	107.4690509	0.898666667
neg8	pos8	8	239 B+ 1	ral-239	B+	4.4	48	1	111.5966855	1.097333333
neg80	pos80	80	505 B- 3	ral-505	B-	3.86	81	3	56.35609539	1.023333333
neg81	pos81	81	627 B- 3	ral-627	B-	3.4	35	3	53.14998588	0.933333333
neg82	pos82	82	730 B- 3	ral-730	B-	3.91	45	3	119.7186265	0.984666667
neg83	pos83	83	732 B- 3	ral-732	B-	4.09	5	3	53.4629023	0.902
neg84	pos84	84	787 B- 3	ral-787	B-	3.45	8	3	57.53811891	0.859333333
neg85	pos85	85	821 B- 3	ral-821	B-	3.79	41	3	90.36076149	0.964666667
neg86	pos86	86	852 B- 3	ral-852	B-	3.67	76	3	114.168537	1.036666667
neg87	pos87	87	855 B- 3	ral-855	B-	3.58	95	3	99.756625	0.849333333
neg88	pos88	88	88 B- 3	ral-88	B-	4.64	56	3	70.00576742	1.032
neg89	pos89	89	129 B- 3	ral-129	B-	4.39	25	3	61.13881019	0.928666667
neg9	pos9	9	310 B+ 1	ral-310	B+	3.97	32	1	98.4402919	1.078
neg90	pos90	90	149 B- 3	ral-149	B-	4.21	54	3	59.58530556	1.024666667
neg91	pos91	91	161 B- 3	ral-161	B-	4.35	10	3	59.40789352	0.938
neg92	pos92	92	195 B- 3	ral-195	B-	3.84	98	3	109.4960028	1.069333333
neg93	pos93	93	239 B- 3	ral-239	B-	4.21	60	3	111.5966855	1.097333333
