CensusTime,AgeH,Chamber,Collective,UniqueName,line,treatment,Transfer,Deaths,Carried,Censored,Flag1,Flag2,N,trial,IntDeaths
48,2016-02-28 11:05:30,45.9133333333333,133,133,Ral513/H2O2,Ral513,H2O2,Y,0,2,0,0,0,8,21,1
49,2016-02-29 09:18:26,68.1288888888889,1,1,Ral340/H2O2,Ral340,H2O2,Y,0,6,0,0,0,4,21,1
50,2016-02-29 09:18:26,68.1288888888889,1,1,Ral340/H2O2,Ral340,H2O2,Y,0,6,0,0,0,4,21,1
51,2016-02-29 09:18:26,68.1288888888889,1,1,Ral340/H2O2,Ral340,H2O2,Y,0,6,0,0,0,4,21,1
52,2016-02-29 09:18:26,68.1288888888889,1,1,Ral340/H2O2,Ral340,H2O2,Y,0,6,0,0,0,4,21,1
53,2016-02-29 09:18:26,68.1288888888889,3,3,Ral861/H2O2,Ral861,H2O2,Y,0,3,0,0,0,7,21,1
54,2016-02-29 09:18:26,68.1288888888889,3,3,Ral861/H2O2,Ral861,H2O2,Y,0,3,0,0,0,7,21,1
55,2016-02-29 09:18:26,68.1288888888889,3,3,Ral861/H2O2,Ral861,H2O2,Y,0,3,0,0,0,7,21,1
56,2016-02-29 09:18:26,68.1288888888889,5,5,Ral879/H2O2,Ral879,H2O2,Y,0,1,0,0,0,9,21,1
57,2016-02-29 09:18:26,68.1288888888889,9,9,Ral468/H2O2,Ral468,H2O2,Y,0,4,0,0,0,6,21,1
58,2016-02-29 09:18:26,68.1288888888889,9,9,Ral468/H2O2,Ral468,H2O2,Y,0,4,0,0,0,6,21,1
59,2016-02-29 09:18:26,68.1288888888889,9,9,Ral468/H2O2,Ral468,H2O2,Y,0,4,0,0,0,6,21,1
60,2016-02-29 09:18:26,68.1288888888889,9,9,Ral468/H2O2,Ral468,H2O2,Y,0,4,0,0,0,6,21,1
61,2016-02-29 09:18:26,68.1288888888889,10,10,Ral426/H2O2,Ral426,H2O2,Y,0,4,0,0,0,6,21,1
62,2016-02-29 09:18:26,68.1288888888889,11,11,Ral427/H2O2,Ral427,H2O2,Y,0,5,0,0,0,4,21,1
63,2016-02-29 09:18:26,68.1288888888889,11,11,Ral427/H2O2,Ral427,H2O2,Y,0,5,0,0,0,4,21,1
64,2016-02-29 09:18:26,68.1288888888889,11,11,Ral427/H2O2,Ral427,H2O2,Y,0,5,0,0,0,4,21,1
65,2016-02-29 09:18:26,68.1288888888889,11,11,Ral427/H2O2,Ral427,H2O2,Y,0,5,0,0,0,4,21,1
66,2016-02-29 09:18:26,68.1288888888889,11,11,Ral427/H2O2,Ral427,H2O2,Y,0,5,0,0,0,4,21,1
67,2016-02-29 09:18:26,68.1288888888889,12,12,Ral832/H2O2,Ral832,H2O2,Y,0,1,0,0,0,9,21,1
68,2016-02-29 09:18:26,68.1288888888889,13,13,Ral802/H2O2,Ral802,H2O2,Y,0,5,0,0,0,5,21,1
69,2016-02-29 09:18:26,68.1288888888889,13,13,Ral802/H2O2,Ral802,H2O2,Y,0,5,0,0,0,5,21,1
70,2016-02-29 09:18:26,68.1288888888889,13,13,Ral802/H2O2,Ral802,H2O2,Y,0,5,0,0,0,5,21,1
71,2016-02-29 09:18:26,68.1288888888889,13,13,Ral802/H2O2,Ral802,H2O2,Y,0,5,0,0,0,5,21,1
72,2016-02-29 09:18:26,68.1288888888889,13,13,Ral802/H2O2,Ral802,H2O2,Y,0,5,0,0,0,5,21,1
73,2016-02-29 09:18:26,68.1288888888889,15,15,Ral566/H2O2,Ral566,H2O2,Y,0,7,0,0,0,3,21,1
74,2016-02-29 09:18:26,68.1288888888889,15,15,Ral566/H2O2,Ral566,H2O2,Y,0,7,0,0,0,3,21,1
75,2016-02-29 09:18:26,68.1288888888889,15,15,Ral566/H2O2,Ral566,H2O2,Y,0,7,0,0,0,3,21,1
76,2016-02-29 09:18:26,68.1288888888889,15,15,Ral566/H2O2,Ral566,H2O2,Y,0,7,0,0,0,3,21,1
77,2016-02-29 09:18:26,68.1288888888889,15,15,Ral566/H2O2,Ral566,H2O2,Y,0,7,0,0,0,3,21,1
78,2016-02-29 09:18:26,68.1288888888889,15,15,Ral566/H2O2,Ral566,H2O2,Y,0,7,0,0,0,3,21,1
79,2016-02-29 09:18:26,68.1288888888889,18,18,Ral340/H2O2,Ral340,H2O2,Y,0,4,0,0,0,6,21,1
80,2016-02-29 09:18:26,68.1288888888889,18,18,Ral340/H2O2,Ral340,H2O2,Y,0,4,0,0,0,6,21,1
81,2016-02-29 09:18:26,68.1288888888889,18,18,Ral340/H2O2,Ral340,H2O2,Y,0,4,0,0,0,6,21,1
82,2016-02-29 09:18:26,68.1288888888889,18,18,Ral340/H2O2,Ral340,H2O2,Y,0,4,0,0,0,6,21,1
83,2016-02-29 09:18:26,68.1288888888889,19,19,Ral374/H2O2,Ral374,H2O2,Y,0,1,0,0,0,9,21,1
84,2016-02-29 09:18:26,68.1288888888889,20,20,Ral861/H2O2,Ral861,H2O2,Y,0,4,0,0,0,6,21,1
85,2016-02-29 09:18:26,68.1288888888889,20,20,Ral861/H2O2,Ral861,H2O2,Y,0,4,0,0,0,6,21,1
86,2016-02-29 09:18:26,68.1288888888889,20,20,Ral861/H2O2,Ral861,H2O2,Y,0,4,0,0,0,6,21,1
87,2016-02-29 09:18:26,68.1288888888889,20,20,Ral861/H2O2,Ral861,H2O2,Y,0,4,0,0,0,6,21,1
88,2016-02-29 09:18:26,68.1288888888889,21,21,Ral468/H2O2,Ral468,H2O2,Y,0,4,0,0,0,5,21,1
89,2016-02-29 09:18:26,68.1288888888889,21,21,Ral468/H2O2,Ral468,H2O2,Y,0,4,0,0,0,5,21,1
90,2016-02-29 09:18:26,68.1288888888889,21,21,Ral468/H2O2,Ral468,H2O2,Y,0,4,0,0,0,5,21,1
91,2016-02-29 09:18:26,68.1288888888889,21,21,Ral468/H2O2,Ral468,H2O2,Y,0,4,0,0,0,5,21,1
92,2016-02-29 09:18:26,68.1288888888889,26,26,Ral426/H2O2,Ral426,H2O2,Y,0,2,0,0,0,8,21,1
93,2016-02-29 09:18:26,68.1288888888889,32,32,Ral348/H2O2,Ral348,H2O2,Y,0,4,0,0,0,7,21,1
94,2016-02-29 09:18:26,68.1288888888889,32,32,Ral348/H2O2,Ral348,H2O2,Y,0,4,0,0,0,7,21,1
95,2016-02-29 09:18:26,68.1288888888889,32,32,Ral348/H2O2,Ral348,H2O2,Y,0,4,0,0,0,7,21,1
96,2016-02-29 09:18:26,68.1288888888889,32,32,Ral348/H2O2,Ral348,H2O2,Y,0,4,0,0,0,7,21,1
97,2016-02-29 09:18:26,68.1288888888889,35,35,Ral356/H2O2,Ral356,H2O2,Y,0,7,0,0,0,3,21,1
98,2016-02-29 09:18:26,68.1288888888889,35,35,Ral356/H2O2,Ral356,H2O2,Y,0,7,0,0,0,3,21,1
99,2016-02-29 09:18:26,68.1288888888889,35,35,Ral356/H2O2,Ral356,H2O2,Y,0,7,0,0,0,3,21,1
100,2016-02-29 09:18:26,68.1288888888889,35,35,Ral356/H2O2,Ral356,H2O2,Y,0,7,0,0,0,3,21,1
101,2016-02-29 09:18:26,68.1288888888889,35,35,Ral356/H2O2,Ral356,H2O2,Y,0,7,0,0,0,3,21,1
102,2016-02-29 09:18:26,68.1288888888889,36,36,Ral802/H2O2,Ral802,H2O2,Y,0,5,0,0,0,5,21,1
103,2016-02-29 09:18:26,68.1288888888889,36,36,Ral802/H2O2,Ral802,H2O2,Y,0,5,0,0,0,5,21,1
104,2016-02-29 09:18:26,68.1288888888889,36,36,Ral802/H2O2,Ral802,H2O2,Y,0,5,0,0,0,5,21,1
105,2016-02-29 09:18:26,68.1288888888889,36,36,Ral802/H2O2,Ral802,H2O2,Y,0,5,0,0,0,5,21,1
106,2016-02-29 09:18:26,68.1288888888889,37,37,Ral566/H2O2,Ral566,H2O2,Y,0,3,0,0,0,7,21,1
107,2016-02-29 09:18:26,68.1288888888889,37,37,Ral566/H2O2,Ral566,H2O2,Y,0,3,0,0,0,7,21,1
108,2016-02-29 09:18:26,68.1288888888889,37,37,Ral566/H2O2,Ral566,H2O2,Y,0,3,0,0,0,7,21,1
109,2016-02-29 09:18:26,68.1288888888889,39,39,Ral427/H2O2,Ral427,H2O2,Y,0,3,0,0,0,7,21,1
110,2016-02-29 09:18:26,68.1288888888889,39,39,Ral427/H2O2,Ral427,H2O2,Y,0,3,0,0,0,7,21,1
111,2016-02-29 09:18:26,68.1288888888889,39,39,Ral427/H2O2,Ral427,H2O2,Y,0,3,0,0,0,7,21,1
112,2016-02-29 09:18:26,68.1288888888889,40,40,Ral437/H2O2,Ral437,H2O2,Y,0,3,0,0,0,7,21,1
113,2016-02-29 09:18:26,68.1288888888889,40,40,Ral437/H2O2,Ral437,H2O2,Y,0,3,0,0,0,7,21,1
114,2016-02-29 09:18:26,68.1288888888889,40,40,Ral437/H2O2,Ral437,H2O2,Y,0,3,0,0,0,7,21,1
115,2016-02-29 09:18:26,68.1288888888889,42,42,Ral566/H2O2,Ral566,H2O2,Y,0,2,0,0,0,8,21,1
116,2016-02-29 09:18:26,68.1288888888889,42,42,Ral566/H2O2,Ral566,H2O2,Y,0,2,0,0,0,8,21,1
117,2016-02-29 09:18:26,68.1288888888889,43,43,Ral354/H2O2,Ral354,H2O2,Y,0,1,0,0,0,9,21,1
118,2016-02-29 09:18:26,68.1288888888889,44,44,Ral528/H2O2,Ral528,H2O2,Y,0,9,0,0,0,1,21,1
119,2016-02-29 09:18:26,68.1288888888889,44,44,Ral528/H2O2,Ral528,H2O2,Y,0,9,0,0,0,1,21,1
120,2016-02-29 09:18:26,68.1288888888889,44,44,Ral528/H2O2,Ral528,H2O2,Y,0,9,0,0,0,1,21,1
121,2016-02-29 09:18:26,68.1288888888889,44,44,Ral528/H2O2,Ral528,H2O2,Y,0,9,0,0,0,1,21,1
122,2016-02-29 09:18:26,68.1288888888889,44,44,Ral528/H2O2,Ral528,H2O2,Y,0,9,0,0,0,1,21,1
123,2016-02-29 09:18:26,68.1288888888889,44,44,Ral528/H2O2,Ral528,H2O2,Y,0,9,0,0,0,1,21,1
124,2016-02-29 09:18:26,68.1288888888889,44,44,Ral528/H2O2,Ral528,H2O2,Y,0,9,0,0,0,1,21,1
125,2016-02-29 09:18:26,68.1288888888889,44,44,Ral528/H2O2,Ral528,H2O2,Y,0,9,0,0,0,1,21,1
126,2016-02-29 09:18:26,68.1288888888889,44,44,Ral528/H2O2,Ral528,H2O2,Y,0,9,0,0,0,1,21,1
127,2016-02-29 09:18:26,68.1288888888889,46,46,Ral427/H2O2,Ral427,H2O2,Y,0,4,0,0,0,6,21,1
128,2016-02-29 09:18:26,68.1288888888889,46,46,Ral427/H2O2,Ral427,H2O2,Y,0,4,0,0,0,6,21,1
129,2016-02-29 09:18:26,68.1288888888889,46,46,Ral427/H2O2,Ral427,H2O2,Y,0,4,0,0,0,6,21,1
130,2016-02-29 09:18:26,68.1288888888889,46,46,Ral427/H2O2,Ral427,H2O2,Y,0,4,0,0,0,6,21,1
131,2016-02-29 09:18:26,68.1288888888889,47,47,Ral427/H2O2,Ral427,H2O2,Y,0,6,0,0,0,4,21,1
132,2016-02-29 09:18:26,68.1288888888889,47,47,Ral427/H2O2,Ral427,H2O2,Y,0,6,0,0,0,4,21,1
133,2016-02-29 09:18:26,68.1288888888889,47,47,Ral427/H2O2,Ral427,H2O2,Y,0,6,0,0,0,4,21,1
134,2016-02-29 09:18:26,68.1288888888889,47,47,Ral427/H2O2,Ral427,H2O2,Y,0,6,0,0,0,4,21,1
135,2016-02-29 09:18:26,68.1288888888889,47,47,Ral427/H2O2,Ral427,H2O2,Y,0,6,0,0,0,4,21,1
136,2016-02-29 09:18:26,68.1288888888889,47,47,Ral427/H2O2,Ral427,H2O2,Y,0,6,0,0,0,4,21,1
137,2016-02-29 09:18:26,68.1288888888889,51,51,Ral437/H2O2,Ral437,H2O2,Y,0,1,0,0,0,9,21,1
138,2016-02-29 09:18:26,68.1288888888889,52,52,Ral513/H2O2,Ral513,H2O2,Y,0,4,0,0,0,5,21,1
139,2016-02-29 09:18:26,68.1288888888889,52,52,Ral513/H2O2,Ral513,H2O2,Y,0,4,0,0,0,5,21,1
140,2016-02-29 09:18:26,68.1288888888889,52,52,Ral513/H2O2,Ral513,H2O2,Y,0,4,0,0,0,5,21,1
