,QC_1.mzdata,QC_2.mzdata,QC_3.mzdata,QC_4.mzdata,QC_5.mzdata,QC_6.mzdata,QC_7.mzdata,QC_8.mzdata,QC_9.mzdata,pos_1.mzdata,pos_2.mzdata,pos_3.mzdata,pos_4.mzdata,pos_5.mzdata,pos_6.mzdata,pos_7.mzdata,pos_8.mzdata,pos_9.mzdata,pos_10.2.mzdata,pos_11.mzdata,pos_12.mzdata,pos_13.mzdata,pos_14.mzdata,pos_15.mzdata,pos_16.mzdata,pos_17.mzdata,pos_18.mzdata,pos_19.mzdata,pos_20.mzdata,pos_21.mzdata,pos_22.mzdata,pos_23.mzdata,pos_24.mzdata,pos_25.mzdata,pos_26.mzdata,pos_27.mzdata,pos_28.mzdata,pos_29.mzdata,pos_30.mzdata,pos_31.mzdata,pos_32.mzdata,pos_33.mzdata,pos_34.mzdata,pos_35.mzdata,pos_36.mzdata,pos_37.mzdata,pos_38.mzdata,pos_39.mzdata,pos_40.mzdata,pos_41.mzdata,pos_42.mzdata,pos_43.mzdata,pos_44.mzdata,pos_45.mzdata,pos_46.mzdata,pos_47.mzdata,pos_48.mzdata,pos_49.mzdata,pos_50.mzdata,pos_51.mzdata,pos_52.mzdata,pos_53.mzdata,pos_54.mzdata,pos_55.mzdata,pos_56.mzdata,pos_57.mzdata,pos_58.mzdata,pos_59.mzdata,pos_60.mzdata,pos_61.mzdata,pos_62.mzdata,pos_63.mzdata,pos_64.mzdata,pos_65.mzdata,pos_66.mzdata,pos_67.mzdata,pos_68.mzdata,pos_69.mzdata,pos_70.mzdata,pos_71.mzdata,pos_72.mzdata,pos_73.mzdata,pos_74.mzdata,pos_75.mzdata,pos_76.mzdata,pos_77.mzdata,pos_78.mzdata,pos_79.mzdata,pos_80.mzdata,pos_81.mzdata,pos_82.mzdata,pos_83.mzdata,pos_84.mzdata,pos_85.mzdata,pos_86.mzdata,pos_87.mzdata,pos_88.mzdata,pos_89.mzdata,pos_90.mzdata,pos_91.mzdata,pos_92.mzdata,pos_93.mzdata
mz11,53661.71411,33396.68968,28694.37243,50178.101,49655.51774,40574.12705,34450.87551,25074.81712,16532.8976,3914.619612,3728.0178,2841.356705,10186.04534,2595.808864,10500.11819,3595.012144,4140.211635,5355.959998,4238.023357,4561.593095,13749.0749,2786.669883,3709.670947,10586.43792,7442.404417,9011.409892,5903.21818,5743.532837,10850.89111,3554.281325,5416.220349,4900.766159,8799.602023,2305.033124,3636.476689,3724.666392,8651.012267,3408.65572,3140.007574,3794.300361,2786.896944,5125.56228,4077.814804,2661.20799,4304.929787,2487.178836,4431.232296,3961.111814,4082.291012,1201.233534,3589.09645,2462.601715,1909.850967,1227.441132,1878.959589,2147.203666,3139.055546,2523.590794,2487.730118,3634.654976,2728.947667,4449.801852,3598.90393,1214.172538,906.7645924,1315.991359,2500.365315,3259.462931,1515.110546,3263.510139,3438.097464,3251.297388,2585.28896,1745.557026,2060.712527,1554.756872,2451.389499,1385.763445,2871.947981,2362.723165,1789.255718,2370.108265,2398.10273,1321.552167,1409.49318,2345.113325,2099.557355,1899.897291,2482.60116,1473.596666,1112.375857,1700.394333,1991.496223,1984.179169,1707.469003,2618.847871,2032.097767,1798.713278,1404.861489,2197.314681,3008.807898,2127.417845
mz12,17795.69045,15749.31572,12302.60432,9373.581093,13985.56872,4171.338292,12723.49317,11742.99459,5784.793916,0,236.2325144,1671.150592,2633.951397,449.1156752,1180.934655,135.2231487,2256.583561,808.6170864,116.812691,2563.47961,2495.416693,1099.71926,0,3416.185205,503.0308863,1308.457096,1356.905925,1312.650183,788.5995408,2025.835804,900.8957372,605.9743495,1607.470017,0,491.9784489,0,1467.776874,2139.178357,0,444.0544891,0,0,0,0,902.0379904,0,2303.439279,955.2557037,351.2150133,0,0,570.3219049,114.321156,0,0,109.6217393,0,99.7740174,0,1056.465689,0,694.6382183,0,0,0,0,0,0,0,111.8571916,0,0,0,0,0,0,103.1494766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.625566,102.699166
mz13,69779.89204,67977.48861,56747.92146,62226.38334,57398.71077,50953.40531,33602.56336,24424.26492,28512.89419,10460.39818,5754.207254,5693.833547,9691.52265,3311.963703,8232.987437,5908.55944,8803.756179,6347.568745,5216.582681,17974.65703,9481.498816,4076.47623,7074.444613,13115.18992,3186.090731,21456.74107,9889.950978,6479.202715,6953.193754,12211.94956,2720.756045,6648.745031,5075.182559,1372.21319,8194.83344,8676.981726,16358.14007,12246.46332,1527.261486,7761.780192,1227.152405,10140.65213,12016.42077,2440.109736,7798.595674,1662.685024,6530.128715,5725.46496,11466.94166,5750.562493,2883.966299,6310.60784,4890.386148,3541.957434,4770.571389,4263.893782,8953.562443,1302.013347,1642.517296,4448.347253,2138.393973,7148.885076,5288.978384,3899.494263,2062.395656,3964.388986,5232.519096,4112.278672,4662.957199,4485.169454,2704.202122,5600.026757,6319.171989,4181.780553,1864.419159,4016.055259,7036.583034,4365.192317,10493.80989,6049.606568,5115.876098,3562.51417,4823.804824,5408.723486,3327.331235,6337.359355,4072.384898,2851.859049,2447.250307,4448.59568,1385.176929,2135.779904,7309.998775,5534.896597,2522.115831,3491.676314,5395.479827,2734.492383,4313.667311,7387.871996,3828.602444,5342.199689
mz14,36010.7484,40631.57264,37856.4217,42574.0317,47005.41569,38873.61949,26398.3587,9200.296761,4827.598535,111.3727523,225.4136193,521.0121013,606.4370332,0,203.9673544,114.8211378,583.9571583,509.3339171,0,129.8858134,1033.508135,318.9703122,0,962.8415298,234.5240972,0,525.2749425,203.5354237,0,0,410.7039947,0,363.2885098,0,182.0122706,335.9595896,483.86877,243.9600715,220.3861618,382.6520788,133.3225218,102.3602599,110.6242991,0,164.3220359,0,0,0,404.8359776,0,0,440.6559234,0,0,0,98.37682974,0,109.1678344,0,292.8597078,0,265.9568868,119.8303787,229.9300406,123.9097368,0,0,0,0,0,0,0,108.0754336,187.6052403,354.3317341,0,0,0,119.8350054,0,0,119.9449104,413.3014134,0,142.5336766,0,0,0,0,0,0,0,0,127.4213955,0,210.3954558,0,0,0,0,0,113.0341946
mz15,16996.1483,18438.77871,8066.540433,17283.71444,21027.37962,16963.95344,13659.90034,7081.656556,7633.307054,1799.459589,2197.721067,3051.084369,2975.498127,1729.314366,2539.572422,1412.784184,3916.878141,3225.796158,1408.442774,2146.825961,5212.980808,2366.971728,1366.161927,2451.846504,2429.594801,2165.971933,3396.000525,2430.372948,1253.508092,1838.980963,3524.314394,1534.064465,3138.419958,1215.381739,1212.640877,1889.550161,3849.717538,2000.47434,1009.601037,1581.164769,1067.18951,1410.791797,1932.46009,1922.255035,1882.553642,1713.817493,1271.342074,1475.089392,1764.759102,215.8467222,1030.218017,1730.100588,1215.407643,535.0427501,551.0992831,1249.410195,1669.92338,2140.221802,1413.686157,1553.095496,1652.083535,1856.398254,864.6196115,1092.372858,161.5508517,267.1151816,488.0746221,1290.527197,837.1505565,944.1186154,1747.278383,966.4062238,769.0041828,1299.277403,1759.310832,881.0828288,1150.765066,1577.802563,1825.860243,1361.752509,762.8691196,1322.740012,1722.337059,896.2943029,1309.802528,1044.651689,810.4739682,1413.237501,407.8203176,847.2151176,370.0517215,1306.017034,640.6053057,950.5710428,469.3988714,1505.814575,1712.152516,1250.243105,799.2028382,1489.03279,1111.495736,1142.252203
mz16,8932.588349,10138.78246,9790.583755,13460.53356,7457.721914,10325.81562,10549.80997,644.171626,2349.277849,0,0,0,0,0,0,0,453.0004498,0,0,0,592.0701461,0,0,431.2226831,0,0,144.3097153,116.5156199,107.3932735,0,281.5319967,0,257.1425674,0,0,0,0,127.7860274,0,0,0,0,0,0,0,99.26014295,0,0,0,0,0,599.8034935,129.5469976,0,0,0,0,0,0,0,0,116.6126206,104.5410199,0,0,0,121.8308675,0,0,0,0,0,99.8495549,0,0,0,117.2528806,0,141.4171184,0,0,111.5007369,0,0,0,0,152.4586824,0,0,0,0,0,0,0,0,0,100.8398003,0,0,0,0,0
mz17,11919.87861,15871.96547,20662.27248,17289.15829,27109.3264,13896.9829,14225.97639,5340.456594,7360.617223,1059.44785,1168.234179,1615.430813,2050.127508,984.9122536,3040.129286,1201.783206,1385.256449,1298.920853,866.668652,893.3093474,1740.670433,3073.624799,810.7829221,2369.547278,944.6782596,3827.158881,2159.511132,2040.448906,2356.967405,1317.000208,1806.16447,869.4843603,1376.384526,4417.10666,1107.912998,1211.362674,3827.783534,1844.38468,1285.253736,1223.59168,1072.992302,1054.659042,1023.80278,375.7261408,587.3714526,459.8406557,1109.788779,1045.714847,766.4562123,236.6331676,316.1511548,1088.626132,261.2284408,206.94411,121.3253323,700.4194093,183.1635224,1563.863745,1102.337295,857.1846656,109.7901733,1139.456582,117.0728697,647.0139442,425.7966895,365.5540312,185.5939702,623.1635469,279.7531816,403.3125741,819.8703818,479.2565956,602.5235758,0,516.6579878,361.2859717,634.5509041,0,361.1735896,512.9003346,254.7638119,974.6737311,470.897344,412.9118133,448.5038628,213.1259414,508.6584003,468.0710383,596.1403852,168.9611077,393.8358192,477.6546796,124.8499931,281.688243,153.5816554,365.9713207,732.7693376,664.1751432,926.8752277,446.605151,428.6545532,659.4250991
mz18,20494.14834,23322.06713,13906.25264,13379.22215,13448.94197,9391.137305,20468.22737,2984.223691,5376.27644,112.5810728,587.6589246,402.5469085,177.2955818,508.5578871,527.9061511,318.7050916,1457.097091,638.3234247,727.4365644,128.4570663,481.5281828,222.4703682,271.1057695,964.7456999,193.2999799,160.2311983,728.1546042,242.7431302,0,116.4030725,717.0117344,688.7023249,147.3590772,271.4510525,157.3309693,161.0776904,634.3450904,364.9667283,259.4555739,444.2660729,413.0323976,0,322.8057423,0,141.1630544,0,577.4308943,172.3918996,236.7890368,0,0,842.2227002,0,0,0,391.2694344,0,143.1629479,0,775.7343422,218.8378206,195.0793215,115.7808801,126.2526045,0,226.8569483,180.8655017,473.950517,146.074067,549.1264325,0,291.245842,357.3367547,245.7376219,258.513815,495.9195113,130.2933743,0,471.2217617,109.2456406,123.3381217,0,300.5339923,135.9565711,320.4017272,137.2094672,0,0,253.9153143,0,261.5843322,0,150.6449856,157.7418439,0,377.7627,126.185405,264.2586874,291.9562623,477.7027717,0,128.2349968
mz19,31465.21271,28377.60666,24336.7108,27205.25958,23310.533,7865.61,27770.32756,10884.86916,8689.657764,2116.192652,2540.003575,5287.621336,4802.303012,2884.978116,3651.654802,2482.279878,5333.625779,3321.193499,3083.897137,2288.099335,5446.89208,4253.010261,2374.424732,6207.250559,2422.353633,3371.022366,4404.533123,3794.025202,2379.52652,2218.805655,3712.645134,2797.07385,4005.90593,2048.808628,1958.313221,3195.519051,3899.275972,2505.47509,1407.340251,2083.99441,1211.124334,1586.681831,2089.725721,1693.392371,2436.665911,1644.712455,739.7450414,1739.208051,2097.177512,884.2185754,1606.913128,2449.417434,380.8500855,1352.195381,1543.4595,1044.144481,1113.128283,2027.284173,1224.562578,2028.676821,1141.779412,1757.014793,1982.677001,945.4036992,1180.981896,660.1968382,1192.543212,890.121769,1189.356406,1685.003161,2627.209335,1780.563744,1649.027734,1180.465738,1373.513447,1425.42339,1341.326815,1020.382195,1272.24384,1548.493724,987.1767209,1481.686947,951.4449898,433.440106,1053.240969,674.9280928,968.8198028,1550.408748,1714.400976,1006.177204,1163.648408,1359.172647,1635.571669,2069.439907,1392.453074,667.8236298,874.7167743,1553.892549,887.031128,1378.600059,1628.015728,1693.572495
mz20,9749.601738,11907.6313,15312.42417,10271.38131,12660.70038,0,12452.34315,4627.681613,6492.454604,0,122.2660535,588.5711124,108.9754784,0,100.6876656,109.2474428,682.4804332,351.0315255,329.4532105,590.5087246,1498.660357,243.4198429,106.566038,1473.192348,227.9437007,132.2642949,624.6844547,258.7274805,289.6867655,564.4482446,870.4573531,109.9411897,472.9396812,357.5699169,392.6162499,209.7245046,357.8105006,122.6712577,260.362989,104.9178915,0,239.0005523,97.34421578,133.0159335,0,131.5639218,121.9005142,398.9443381,0,388.5027818,146.6286045,112.4524919,224.5423337,499.6258816,0,278.0220072,222.9077365,124.1972832,102.5083898,102.4075914,101.1952583,405.3101569,105.4414901,140.2168368,124.7866417,495.2572684,110.3786619,693.0046362,0,0,376.4742874,221.2321151,368.9004631,0,238.8373229,400.8949427,111.4838793,167.6518738,409.3323882,123.3602453,446.9117477,244.2525969,114.8550637,601.8466907,147.1404079,121.0604789,0,287.5261005,0,163.6526619,609.6989912,216.0368032,540.0803889,250.1458405,207.0749886,0,351.131908,328.8560351,138.0644966,457.8676907,261.869851,117.2529172
